run_id,policy,bw_mbit,obj_label,obj_bytes,iteration,client,client_ip,rtt_nominal_ms,round,port,size_download,time_connect_ms,time_ttfb_ms,time_total_ms,fct_ms,trasferimento_ms,goodput_mbps,iw_route,iw_applied,max_cwnd,srtt_ms,min_rtt_ms,retrans,bytes_acked,mss,duration_ms,ewma_after,samples,penalties
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h2,10.0.0.2,6.0,1,45412,1048576,6.516,13.786,445.004,445.004,438.488,18.850635050471453,10,24,34,10.126,6.495,0,1048827,1448,445.033,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h2,10.0.0.2,6.0,2,45422,1048576,6.814,14.123,446.925,446.925,440.11100000000005,18.76961011355373,10,24,34,10.125,6.355,0,1048827,1448,445.014,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h2,10.0.0.2,6.0,3,45424,1048576,6.5040000000000004,13.766,448.774,448.774,442.27,18.69227718183317,10,24,34,9.974,6.502,0,1048827,1448,446.173,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h2,10.0.0.2,6.0,4,45430,1048576,6.611,13.348,450.418,450.418,443.807,18.624051436665496,10,24,33,10.005,6.205,0,1048827,1448,447.161,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h2,10.0.0.2,6.0,5,45806,1048576,6.522,13.362,470.603,470.603,464.08099999999996,17.82523273332299,10,24,34,10.04,6.288,0,1048827,1448,466.917,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h2,10.0.0.2,6.0,6,45814,1048576,6.711,13.546000000000001,449.344,449.344,442.633,18.668565731377296,10,24,34,10.137,6.317,0,1048827,1448,444.986,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h2,10.0.0.2,6.0,7,45822,1048576,6.766,13.633,450.092,450.092,443.326,18.637540769442694,10,24,33,10.126,6.18,0,1048827,1448,444.974,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h2,10.0.0.2,6.0,8,45828,1048576,6.592,13.348,450.18,450.18,443.588,18.63389755209027,10,24,33,10.095,6.16,0,1048827,1448,445.074,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h2,10.0.0.2,6.0,9,45832,1048576,6.808,13.779,451.257,451.257,444.449,18.58942465158435,10,24,33,9.99,6.238,0,1048827,1448,445.374,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h2,10.0.0.2,6.0,10,54922,1048576,6.588,13.16,454.29999999999995,454.29999999999995,447.712,18.46490865067136,10,24,33,10.091,6.222,0,1048827,1448,448.996,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h2,10.0.0.2,6.0,11,54928,1048576,6.919,13.6,450.96999999999997,450.96999999999997,444.051,18.601255072399493,10,24,33,10.103,6.228,0,1048827,1448,445.075,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h2,10.0.0.2,6.0,12,54936,1048576,6.731,13.398,444.821,444.821,438.09000000000003,18.85839022887858,10,24,34,10.143,6.334,0,1048827,1448,444.873,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h2,10.0.0.2,6.0,13,54952,1048576,6.592,13.867,446.945,446.945,440.353,18.76877020662498,10,24,33,9.93,6.312,0,1048827,1448,445.026,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h2,10.0.0.2,6.0,14,54956,1048576,6.914,14.245000000000001,447.449,447.449,440.535,18.74762933876263,10,24,35,10.101,6.422,0,1048827,1448,445.022,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h2,10.0.0.2,6.0,15,54968,1048576,6.603999999999999,13.54,448.219,448.219,441.61499999999995,18.715422594758365,10,24,34,10.105,6.321,0,1048827,1448,445.208,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h3,10.0.0.3,22.0,1,37296,1048576,24.660999999999998,47.525,488.92900000000003,488.92900000000003,464.26800000000003,17.157108700854316,10,24,106,26.706,22.189,0,1048827,1448,471.022,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h3,10.0.0.3,22.0,2,37304,1048576,25.965,50.199,491.71700000000004,491.71700000000004,465.752,17.059829129356928,10,24,47,25.18,22.164,0,1048827,1448,469.779,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h3,10.0.0.3,22.0,3,37316,1048576,23.311999999999998,48.952000000000005,502.092,502.092,478.78,16.707312604064594,10,24,68,26.183,22.189,0,1048827,1448,480.46,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h3,10.0.0.3,22.0,4,33242,1048576,26.223,51.286,496.265,496.265,470.04200000000003,16.90348503319799,10,24,47,25.121,22.228,0,1048827,1448,470.835,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h3,10.0.0.3,22.0,5,33244,1048576,26.23,51.462,498.8,498.8,472.57000000000005,16.81757818765036,10,24,47,25.158,22.364,0,1048827,1448,472.992,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h3,10.0.0.3,22.0,6,33256,1048576,23.711,48.681000000000004,492.818,492.818,469.10699999999997,17.021715927583813,10,24,47,25.163,22.236,0,1048827,1448,469.189,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h3,10.0.0.3,22.0,7,33268,1048576,25.531000000000002,50.949,495.534,495.534,470.00299999999993,16.928420653275055,10,24,47,25.12,22.237,0,1048827,1448,469.049,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h3,10.0.0.3,22.0,8,33282,1048576,22.741,48.21,493.064,493.064,470.323,17.013223435497217,10,24,47,25.134,22.373,0,1048827,1448,469.284,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h3,10.0.0.3,22.0,9,33286,1048576,23.439999999999998,46.732,491.654,491.654,468.21399999999994,17.06201515700066,10,24,47,25.102,22.19,0,1048827,1448,468.985,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h3,10.0.0.3,22.0,10,49532,1048576,26.774,52.096999999999994,497.336,497.336,470.56199999999995,16.86708382260685,10,24,47,25.312,22.196,0,1048827,1448,469.269,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h3,10.0.0.3,22.0,11,49548,1048576,25.397,51.164,496.698,496.698,471.301,16.888749300379708,10,24,47,25.12,22.188,0,1048827,1448,469.155,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h3,10.0.0.3,22.0,12,49558,1048576,23.816,48.654,490.164,490.164,466.34799999999996,17.113880252323714,10,24,47,25.13,22.16,0,1048827,1448,470.617,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h3,10.0.0.3,22.0,13,49564,1048576,24.875999999999998,48.531,489.535,489.535,464.659,17.13586975395018,10,24,69,26.011,22.194,0,1048827,1448,469.383,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h3,10.0.0.3,22.0,14,49574,1048576,26.145000000000003,51.443000000000005,494.159,494.159,468.01400000000007,16.975524072211574,10,24,47,25.224,22.371,0,1048827,1448,469.941,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h3,10.0.0.3,22.0,15,54090,1048576,25.829,51.483000000000004,494.545,494.545,468.716,16.96227441385516,10,24,45,25.203,22.225,0,1048827,1448,469.545,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h4,10.0.0.4,52.0,1,40462,1048576,60.745,120.049,615.6700000000001,615.6700000000001,554.925,13.625169327724267,10,24,141,55.377,52.261,0,1048827,1448,558.126,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h4,10.0.0.4,52.0,2,40472,1048576,56.899,115.85199999999999,615.053,615.053,558.1539999999999,13.638837628627128,10,24,141,55.349,52.221,0,1048827,1448,562.68,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h4,10.0.0.4,52.0,3,40482,1048576,57.995,119.328,619.0799999999999,619.0799999999999,561.0849999999999,13.550119532209086,10,24,141,55.124,52.253,0,1048827,1448,562.466,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h4,10.0.0.4,52.0,4,38934,1048576,58.016,116.118,656.535,656.535,598.519,12.777091853442695,10,24,142,55.248,52.216,0,1048827,1448,597.734,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h4,10.0.0.4,52.0,5,38936,1048576,59.129,118.482,616.996,616.996,557.867,13.595887169446804,10,24,141,55.147,52.228,0,1048827,1448,555.882,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h4,10.0.0.4,52.0,6,38950,1048576,62.147,123.861,624.4159999999999,624.4159999999999,562.269,13.434325834059347,10,24,141,55.155,52.174,0,1048827,1448,559.814,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h4,10.0.0.4,52.0,7,38952,1048576,61.702,121.304,622.816,622.816,561.114,13.468838308585521,10,24,141,55.122,52.205,0,1048827,1448,558.158,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h4,10.0.0.4,52.0,8,38954,1048576,57.3,118.255,621.047,621.047,563.747,13.507203158537116,10,24,141,55.304,52.243,0,1048827,1448,561.541,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h4,10.0.0.4,52.0,9,38960,1048576,58.528999999999996,118.307,618.323,618.323,559.7939999999999,13.566708661977641,10,24,141,55.208,52.141,0,1048827,1448,556.088,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h4,10.0.0.4,52.0,10,44596,1048576,59.422000000000004,114.996,617.4960000000001,617.4960000000001,558.0740000000001,13.584878282612355,10,24,141,55.39,52.285,0,1048827,1448,557.484,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h4,10.0.0.4,52.0,11,44606,1048576,59.142,117.302,618.919,618.919,559.7769999999999,13.553644337950525,10,24,139,55.2,52.335,0,1048827,1448,555.12,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h4,10.0.0.4,52.0,12,44608,1048576,56.161,111.05,607.8430000000001,607.8430000000001,551.682,13.800616277558513,10,24,141,55.126,52.205,0,1048827,1448,559.009,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h4,10.0.0.4,52.0,13,44616,1048576,57.588,114.978,621.7,621.7,564.1120000000001,13.493015924079137,10,24,202,56.902,52.432,0,1048827,1448,566.491,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h4,10.0.0.4,52.0,14,44618,1048576,61.866,123.294,623.0,623.0,561.134,13.464860353130016,10,24,141,55.433,52.273,0,1048827,1448,562.027,0,0,0
statichigh-bpf_bw20_1M_it05,statichigh-bpf,20,1M,1048576,5,h4,10.0.0.4,52.0,15,38668,1048576,57.811,117.573,618.7550000000001,618.7550000000001,560.9440000000001,13.557236709198309,10,24,141,55.405,52.295,0,1048827,1448,562.74,0,0,0
statichigh-bpf_bw20_200K_it05,statichigh-bpf,20,200K,204800,5,h2,10.0.0.2,6.0,1,58630,204800,6.7749999999999995,13.633,97.932,97.932,91.157,16.72997590164604,10,24,34,10.005,6.333,0,205049,1448,91.666,0,0,0
statichigh-bpf_bw20_200K_it05,statichigh-bpf,20,200K,204800,5,h2,10.0.0.2,6.0,2,58644,204800,6.755,13.514999999999999,98.138,98.138,91.38300000000001,16.6948582608164,10,24,33,9.962,6.237,0,205049,1448,91.955,0,0,0
statichigh-bpf_bw20_200K_it05,statichigh-bpf,20,200K,204800,5,h2,10.0.0.2,6.0,3,58650,204800,6.699,13.981,98.535,98.535,91.836,16.627594255848177,10,24,34,9.972,6.327,0,205049,1448,92.006,0,0,0
statichigh-bpf_bw20_200K_it05,statichigh-bpf,20,200K,204800,5,h2,10.0.0.2,6.0,4,58658,204800,6.632,13.6,98.22500000000001,98.22500000000001,91.593,16.680071264952915,10,24,34,9.915,6.262,0,205049,1448,91.52,0,0,0
statichigh-bpf_bw20_200K_it05,statichigh-bpf,20,200K,204800,5,h2,10.0.0.2,6.0,5,58662,204800,6.792000000000001,13.549999999999999,98.37,98.37,91.57799999999999,16.65548439564908,10,24,33,9.783,6.273,0,205049,1448,91.617,0,0,0
statichigh-bpf_bw20_200K_it05,statichigh-bpf,20,200K,204800,5,h2,10.0.0.2,6.0,6,58678,204800,6.744,13.915000000000001,98.591,98.591,91.847,16.61814972969135,10,24,33,10.458,6.25,0,205049,1448,91.916,0,0,0
statichigh-bpf_bw20_200K_it05,statichigh-bpf,20,200K,204800,5,h2,10.0.0.2,6.0,7,58692,204800,6.729,13.982,98.568,98.568,91.839,16.62202743283824,10,24,34,9.965,6.344,0,205049,1448,91.94,0,0,0
statichigh-bpf_bw20_200K_it05,statichigh-bpf,20,200K,204800,5,h2,10.0.0.2,6.0,8,58700,204800,6.554,13.206000000000001,98.113,98.113,91.559,16.699112248122063,10,24,33,9.96,6.222,0,205049,1448,91.651,0,0,0
statichigh-bpf_bw20_200K_it05,statichigh-bpf,20,200K,204800,5,h2,10.0.0.2,6.0,9,58704,204800,6.635000000000001,13.549999999999999,98.25200000000001,98.25200000000001,91.617,16.675487521882506,10,24,34,10.021,6.34,0,205049,1448,91.883,0,0,0
statichigh-bpf_bw20_200K_it05,statichigh-bpf,20,200K,204800,5,h2,10.0.0.2,6.0,10,58718,204800,6.8,13.527000000000001,98.49900000000001,98.49900000000001,91.699,16.633671407831553,10,24,33,9.671,6.22,0,205049,1448,91.839,0,0,0
statichigh-bpf_bw20_200K_it05,statichigh-bpf,20,200K,204800,5,h2,10.0.0.2,6.0,11,58726,204800,6.762,13.539000000000001,98.213,98.213,91.451,16.68210929306711,10,24,34,10.033,6.323,0,205049,1448,91.842,0,0,0
statichigh-bpf_bw20_200K_it05,statichigh-bpf,20,200K,204800,5,h2,10.0.0.2,6.0,12,45364,204800,6.638,13.703,98.498,98.498,91.86,16.633840281020934,10,24,33,9.975,6.26,0,205049,1448,91.822,0,0,0
statichigh-bpf_bw20_200K_it05,statichigh-bpf,20,200K,204800,5,h2,10.0.0.2,6.0,13,45378,204800,6.7299999999999995,13.459,98.33200000000001,98.33200000000001,91.602,16.661920839604605,10,24,34,10.024,6.234,0,205049,1448,91.927,0,0,0
statichigh-bpf_bw20_200K_it05,statichigh-bpf,20,200K,204800,5,h2,10.0.0.2,6.0,14,45388,204800,6.615,14.199,103.566,103.566,96.95100000000001,15.819863661819516,10,24,35,10.638,6.517,0,205049,1448,96.856,0,0,0
statichigh-bpf_bw20_200K_it05,statichigh-bpf,20,200K,204800,5,h2,10.0.0.2,6.0,15,45398,204800,6.603000000000001,14.066,98.735,98.735,92.132,16.593912999442953,10,24,34,9.702,6.403,0,205049,1448,91.69,0,0,0
statichigh-bpf_bw20_200K_it05,statichigh-bpf,20,200K,204800,5,h3,10.0.0.3,22.0,1,46048,204800,25.281000000000002,50.405,143.06,143.06,117.779,11.452537396896407,10,24,47,25.021,22.213,0,205049,1448,115.852,0,0,0
statichigh-bpf_bw20_200K_it05,statichigh-bpf,20,200K,204800,5,h3,10.0.0.3,22.0,2,46050,204800,24.097,49.427,142.231,142.231,118.13399999999999,11.519289043879322,10,24,47,25.039,22.197,0,205049,1448,115.978,0,0,0
statichigh-bpf_bw20_200K_it05,statichigh-bpf,20,200K,204800,5,h3,10.0.0.3,22.0,3,46058,204800,25.75,51.298,144.13500000000002,144.13500000000002,118.38500000000002,11.36712110174489,10,24,47,24.981,22.271,0,205049,1448,116.104,0,0,0
statichigh-bpf_bw20_200K_it05,statichigh-bpf,20,200K,204800,5,h3,10.0.0.3,22.0,4,46066,204800,25.828,51.136,143.999,143.999,118.17099999999998,11.377856790672158,10,24,47,25.114,22.205,0,205049,1448,116.283,0,0,0
statichigh-bpf_bw20_200K_it05,statichigh-bpf,20,200K,204800,5,h3,10.0.0.3,22.0,5,46070,204800,26.366,51.626,144.529,144.529,118.163,11.336133232776813,10,24,47,24.996,22.217,0,205049,1448,115.99,0,0,0
