policy,bw_mbit,obj_label,obj_bytes,rtt_nominal_ms,n_conn,n_iterations,fct_ms_mean,fct_ms_median,fct_ms_std,fct_ms_p95,goodput_mbps_mean,goodput_mbps_median,goodput_mbps_std,goodput_mbps_p95,trasferimento_ms_mean,trasferimento_ms_median,trasferimento_ms_std,trasferimento_ms_p95,retrans_mean,retrans_median,retrans_std,retrans_p95,srtt_ms_mean,srtt_ms_median,srtt_ms_std,srtt_ms_p95,iw_applied_mean,iw_applied_median,iw_applied_std,iw_applied_p95,max_cwnd_mean,max_cwnd_median,max_cwnd_std,max_cwnd_p95,retrans_flow_pct,penalties_total
statichigh,20,1M,1048576,,450,10,521.5493,495.049,71.4356,623.4617,16.3724,16.945,2.1158,18.7691,491.3256,469.878,49.9905,563.2647,0.0,0.0,0.0,0.0,30.2426,25.1845,18.8384,55.536,24.0,24.0,0.0,24.0,74.8311,47.0,48.5569,142.0,0.0,0
statichigh-bpf,20,1M,1048576,,450,10,521.242,494.5375,71.7513,623.4515,16.3842,16.9625,2.1229,18.7703,491.0206,469.1085,50.4402,563.1511,0.0,0.0,0.0,0.0,30.26,25.181,18.8801,55.5571,24.0,24.0,0.0,24.0,75.3667,47.0,49.4672,142.0,0.0,0
statichigh,20,200K,204800,,450,10,169.7977,143.25,71.9429,272.1277,11.4079,11.4373,4.3042,16.722,139.4543,118.075,50.279,211.6678,0.0,0.0,0.0,0.0,30.2875,25.083,19.0692,55.8036,24.0,24.0,0.0,24.0,74.3756,47.0,48.6396,143.0,0.0,0
statichigh-bpf,20,200K,204800,,450,10,170.0209,143.531,71.8632,272.3221,11.3869,11.415,4.2948,16.7094,139.8147,118.22,50.411,212.9984,0.0,0.0,0.0,0.0,30.301,25.0785,19.1032,55.8166,24.0,24.0,0.0,24.0,74.8489,47.0,49.219,143.0,0.0,0
