run_id,policy,bw_mbit,obj_bytes,iteration,dst_ip,dport,sport,iw_route,iw_applied,max_cwnd,srtt_us,min_rtt_us,retrans,bytes_acked,mss,duration_us,ewma_after,samples,penalties
calib_iw048_200K,static10,100,204800,0,10.0.0.2,37272,80,48,48,50,6685,6000,17,205049,1448,32702,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,53580,80,48,48,128,23816,22646,0,205049,1448,77390,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,58014,80,48,48,120,55710,52606,0,205049,1448,175905,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,37288,80,48,48,48,6508,6000,13,205049,1448,32324,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,53584,80,48,48,116,23801,22667,0,205049,1448,79131,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,58024,80,48,48,123,56954,53424,0,205049,1448,178971,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,37302,80,48,48,50,6701,6000,17,205049,1448,32998,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,53596,80,48,48,118,23782,22660,0,205049,1448,78284,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,58040,80,48,48,127,54755,52138,0,205049,1448,181065,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,37312,80,48,48,50,6615,6000,17,205049,1448,32432,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,53598,80,48,48,124,24629,22458,2,205049,1448,136757,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,58046,80,48,48,124,54251,53028,0,205049,1448,176787,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,37318,80,48,48,50,6676,6000,17,205049,1448,32829,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,53606,80,48,48,118,23791,22649,0,205049,1448,78478,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,58056,80,48,48,123,52882,52439,0,205049,1448,176676,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,37330,80,48,48,50,6677,6000,17,205049,1448,32688,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,47188,80,48,48,124,23816,22467,0,205049,1448,75554,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,34098,80,48,48,120,53026,52455,0,205049,1448,174703,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,49378,80,48,48,50,6644,6000,17,205049,1448,32492,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,47204,80,48,48,116,23770,22653,0,205049,1448,78892,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,34108,80,48,48,124,56389,52318,0,205049,1448,178321,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,49392,80,48,48,50,6717,6000,17,205049,1448,32841,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,47210,80,48,48,116,23793,22686,0,205049,1448,78483,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,34122,80,48,48,110,53081,52425,0,205049,1448,166945,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,49398,80,48,48,50,6541,6000,17,205049,1448,32465,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,47218,80,48,48,116,23791,22672,0,205049,1448,78890,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,34128,80,48,48,123,56026,53014,0,205049,1448,179207,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,49402,80,48,48,48,6558,6000,13,205049,1448,32358,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,47228,80,48,48,124,23829,22682,0,205049,1448,77956,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,34142,80,48,48,119,55049,52334,0,205049,1448,175318,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,49414,80,48,48,50,6438,6000,16,205049,1448,31966,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,47242,80,48,48,116,23839,22685,0,205049,1448,78526,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,34158,80,48,48,120,57009,52563,0,205049,1448,177669,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,49430,80,48,48,50,6701,6000,17,205049,1448,32751,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,47254,80,48,48,116,23789,22474,0,205049,1448,77628,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,34174,80,48,48,120,52980,52469,0,205049,1448,175635,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,49438,80,48,48,50,6699,6000,17,205049,1448,32928,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,47262,80,48,48,132,23804,22658,0,205049,1448,77224,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,34186,80,48,48,108,52949,52304,0,205049,1448,171646,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,49452,80,48,48,50,6662,6000,17,205049,1448,32824,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,47278,80,48,48,116,23779,22626,0,205049,1448,78542,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,34194,80,48,48,116,54444,52299,0,205049,1448,171430,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,49462,80,48,48,50,6693,6000,17,205049,1448,32773,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,47284,80,48,48,116,23793,22463,0,205049,1448,78016,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,34210,80,48,48,119,55418,52414,0,205049,1448,175896,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,49464,80,48,48,48,6585,6000,13,205049,1448,32546,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,47292,80,48,48,114,23815,22457,0,205049,1448,77055,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,34212,80,48,48,122,54988,52304,0,205049,1448,175220,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,49480,80,48,48,48,6766,6000,13,205049,1448,30200,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,47294,80,48,48,116,23787,22659,0,205049,1448,78504,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,34216,80,48,48,117,52869,52300,0,205049,1448,173036,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,49482,80,48,48,50,6681,6000,17,205049,1448,32703,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,47304,80,48,48,114,23804,22441,0,205049,1448,77494,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,34230,80,48,48,126,52858,52443,0,205049,1448,168472,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,49486,80,48,48,50,6637,6000,17,205049,1448,32587,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,47314,80,48,48,130,23805,22672,0,205049,1448,77419,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,34234,80,48,48,127,54654,52315,0,205049,1448,176592,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,49500,80,48,48,50,6657,6000,20,205049,1448,35114,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,47324,80,48,48,124,23822,22557,0,205049,1448,77911,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,34248,80,48,48,128,53474,52432,0,205049,1448,180477,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,49512,80,48,48,50,6572,6000,21,205049,1448,35310,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,47340,80,48,48,116,23748,22396,0,205049,1448,75727,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,34262,80,48,48,122,52985,52443,0,205049,1448,171841,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,49522,80,48,48,50,6718,6000,17,205049,1448,32719,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,47346,80,48,48,116,23780,22236,0,205049,1448,78995,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,34268,80,48,48,131,58852,55798,0,205049,1448,185570,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,46694,80,48,48,50,6673,6000,17,205049,1448,32807,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,35592,80,48,48,116,23761,22660,0,205049,1448,78874,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,51078,80,48,48,118,53186,52323,0,205049,1448,174068,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,46706,80,48,48,50,6628,6000,17,205049,1448,32610,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,35602,80,48,48,116,23789,22663,0,205049,1448,78767,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,51086,80,48,48,116,52839,52284,0,205049,1448,170658,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,46718,80,48,48,50,6605,6000,17,205049,1448,32360,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,35608,80,48,48,126,23911,22474,0,205049,1448,75822,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,51088,80,48,48,108,52721,52280,0,205049,1448,165643,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,46730,80,48,48,50,6560,6000,21,205049,1448,35358,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,35624,80,48,48,114,23814,22475,0,205049,1448,77035,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,51090,80,48,48,128,53050,52472,0,205049,1448,180568,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,46740,80,48,48,50,6682,6000,17,205049,1448,32709,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,35640,80,48,48,116,23782,22675,0,205049,1448,78397,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,51094,80,48,48,116,54881,52356,0,205049,1448,172695,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,46744,80,48,48,48,6330,6000,13,205049,1448,32706,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,35650,80,48,48,116,23771,22663,0,205049,1448,78808,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,51098,80,48,48,138,53154,52461,0,205049,1448,174620,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,46752,80,48,48,48,6353,6000,13,205049,1448,32711,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,35658,80,48,48,116,23777,22663,0,205049,1448,78253,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,51100,80,48,48,124,52953,52478,0,205049,1448,171193,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.2,46758,80,48,48,50,6689,6000,17,205049,1448,32823,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.3,35674,80,48,48,116,23801,22681,0,205049,1448,78731,0,0,0
calib_iw048_200K,static10,100,204800,0,10.0.0.4,51104,80,48,48,122,52851,52423,0,205049,1448,176906,0,0,0
