run_id,policy,bw_mbit,obj_bytes,iteration,dst_ip,dport,sport,iw_route,iw_applied,max_cwnd,srtt_us,min_rtt_us,retrans,bytes_acked,mss,duration_us,ewma_after,samples,penalties
calib_iw048_30K,static10,100,30720,0,10.0.0.2,44818,80,48,48,48,7339,6113,0,30967,1448,8925,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.3,42102,80,48,48,48,24562,22853,0,30967,1448,25124,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.4,48644,80,48,48,48,59672,58047,0,30967,1448,60478,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.2,44820,80,48,48,48,7355,6108,0,30967,1448,8827,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.3,42112,80,48,48,48,23580,22504,0,30967,1448,24839,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.4,48656,80,48,48,48,60494,58933,0,30967,1448,61445,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.2,44822,80,48,48,48,7371,6405,0,30967,1448,8803,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.3,42120,80,48,48,48,24428,22922,0,30967,1448,25237,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.4,48668,80,48,48,48,60017,58727,0,30967,1448,61199,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.2,44834,80,48,48,48,7370,6259,0,30967,1448,8796,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.3,42124,80,48,48,48,24421,22712,0,30967,1448,25061,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.4,48678,80,48,48,48,60377,58818,0,30967,1448,61262,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.2,44840,80,48,48,48,7342,6078,0,30967,1448,8767,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.3,42130,80,48,48,48,23029,22468,0,30967,1448,24766,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.4,48682,80,48,48,48,57426,56084,0,30967,1448,58515,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.2,44848,80,48,48,48,7521,6065,0,30967,1448,8774,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.3,42144,80,48,48,48,22978,22480,0,30967,1448,24781,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.4,48690,80,48,48,48,59425,57770,0,30967,1448,60267,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.2,44852,80,48,48,48,7389,6596,0,30967,1448,8819,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.3,42148,80,48,48,48,23506,22475,0,30967,1448,24827,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.4,48706,80,48,48,48,60353,58794,0,30967,1448,61242,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.2,44868,80,48,48,48,7333,6536,0,30967,1448,8901,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.3,42152,80,48,48,48,24737,23082,0,30967,1448,25393,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.4,48712,80,48,48,48,60311,57662,0,30967,1448,61616,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.2,44878,80,48,48,48,7362,6113,0,30967,1448,8855,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.3,42158,80,48,48,48,24525,22816,0,30967,1448,25147,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.4,48724,80,48,48,48,59919,57986,0,30967,1448,61129,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.2,44894,80,48,48,48,7326,6068,0,30967,1448,8844,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.3,42172,80,48,48,48,24377,22773,0,30967,1448,25053,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.4,48732,80,48,48,48,54933,53326,0,30967,1448,55773,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.2,44906,80,48,48,48,7353,6177,0,30967,1448,8851,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.3,42174,80,48,48,48,23726,22442,0,30967,1448,24810,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.4,48746,80,48,48,48,54836,52982,0,30967,1448,55451,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.2,44916,80,48,48,48,7326,6181,0,30967,1448,8860,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.3,42180,80,48,48,48,24368,22726,0,30967,1448,25069,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.4,48748,80,48,48,48,55299,53307,0,30967,1448,55780,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.2,44930,80,48,48,48,7382,6534,0,30967,1448,8746,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.3,42194,80,48,48,48,24397,22713,0,30967,1448,25032,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.4,48754,80,48,48,48,59016,57738,0,30967,1448,60170,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.2,44938,80,48,48,48,7336,6408,0,30967,1448,8823,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.3,42196,80,48,48,48,25075,23558,0,30967,1448,25897,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.4,48756,80,48,48,48,56876,55025,0,30967,1448,57520,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.2,44954,80,48,48,48,7342,6175,0,30967,1448,8833,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.3,42210,80,48,48,48,24729,23055,0,30967,1448,25397,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.4,48772,80,48,48,48,58694,56996,0,30967,1448,59450,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.2,44960,80,48,48,48,7519,6708,0,30967,1448,8876,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.3,42224,80,48,48,48,23001,22194,0,30967,1448,24874,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.4,57864,80,48,48,48,58000,56240,0,30967,1448,58728,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.2,37148,80,48,48,48,7357,6132,0,30967,1448,8918,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.3,53442,80,48,48,48,24643,23039,0,30967,1448,25399,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.4,57880,80,48,48,48,58678,57074,0,30967,1448,59455,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.2,37160,80,48,48,48,7327,6480,0,30967,1448,8835,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.3,53450,80,48,48,48,24226,22745,0,30967,1448,25078,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.4,57884,80,48,48,48,57211,55965,0,30967,1448,58379,0,0,0
calib_iw048_30K,static10,100,30720,0,10.0.0.2,37172,80,48,48,48,7368,6097,0,30967,1448,8878,0,0,0
