run_id,policy,bw_mbit,obj_bytes,iteration,dst_ip,dport,sport,iw_route,iw_applied,max_cwnd,srtt_us,min_rtt_us,retrans,bytes_acked,mss,duration_us,ewma_after,samples,penalties
calib_iw064_30K,static10,100,30720,0,10.0.0.2,46762,80,64,64,64,7492,6083,0,30967,1448,8852,0,0,0
calib_iw064_30K,static10,100,30720,0,10.0.0.3,35678,80,64,64,64,24524,22744,0,30967,1448,25018,0,0,0
calib_iw064_30K,static10,100,30720,0,10.0.0.4,51106,80,64,64,64,54676,53297,0,30967,1448,55754,0,0,0
calib_iw064_30K,static10,100,30720,0,10.0.0.2,46770,80,64,64,64,7512,6100,0,30967,1448,8765,0,0,0
calib_iw064_30K,static10,100,30720,0,10.0.0.3,35692,80,64,64,64,23151,22437,0,30967,1448,24784,0,0,0
calib_iw064_30K,static10,100,30720,0,10.0.0.4,51118,80,64,64,64,57077,55732,0,30967,1448,58132,0,0,0
calib_iw064_30K,static10,100,30720,0,10.0.0.2,46784,80,64,64,64,7456,6465,0,30967,1448,8866,0,0,0
calib_iw064_30K,static10,100,30720,0,10.0.0.3,35704,80,64,64,64,23154,22096,0,30967,1448,24847,0,0,0
calib_iw064_30K,static10,100,30720,0,10.0.0.4,51120,80,64,64,64,59900,58308,0,30967,1448,60823,0,0,0
calib_iw064_30K,static10,100,30720,0,10.0.0.2,46798,80,64,64,64,7523,6074,0,30967,1448,8850,0,0,0
calib_iw064_30K,static10,100,30720,0,10.0.0.3,35710,80,64,64,64,23268,22494,0,30967,1448,24771,0,0,0
calib_iw064_30K,static10,100,30720,0,10.0.0.4,51134,80,64,64,64,58899,57141,0,30967,1448,60122,0,0,0
calib_iw064_30K,static10,100,30720,0,10.0.0.2,46806,80,64,64,64,7530,6095,0,30967,1448,8862,0,0,0
calib_iw064_30K,static10,100,30720,0,10.0.0.3,35714,80,64,64,64,23209,22497,0,30967,1448,24847,0,0,0
calib_iw064_30K,static10,100,30720,0,10.0.0.4,51138,80,64,64,64,57882,56454,0,30967,1448,58943,0,0,0
calib_iw064_30K,static10,100,30720,0,10.0.0.2,46814,80,64,64,64,7528,6257,0,30967,1448,8933,0,0,0
calib_iw064_30K,static10,100,30720,0,10.0.0.3,35728,80,64,64,64,23432,22501,0,30967,1448,24809,0,0,0
calib_iw064_30K,static10,100,30720,0,10.0.0.4,51140,80,64,64,64,59193,54381,0,30967,1448,60678,0,0,0
calib_iw064_30K,static10,100,30720,0,10.0.0.2,46822,80,64,64,64,7424,6282,0,30967,1448,8868,0,0,0
calib_iw064_30K,static10,100,30720,0,10.0.0.3,35732,80,64,64,64,23832,22427,0,30967,1448,24708,0,0,0
