run_id,policy,bw_mbit,obj_bytes,iteration,dst_ip,dport,sport,iw_route,iw_applied,max_cwnd,srtt_us,min_rtt_us,retrans,bytes_acked,mss,duration_us,ewma_after,samples,penalties
calib_iw096_30K,static10,100,30720,0,10.0.0.2,41368,80,96,96,96,7638,6143,0,30967,1448,8841,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.3,42724,80,96,96,96,24096,22531,0,30967,1448,24772,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.4,49864,80,96,96,96,64392,62583,0,30967,1448,65041,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.2,60284,80,96,96,96,7765,6117,0,30967,1448,8987,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.3,42108,80,96,96,96,27668,25631,0,30967,1448,27876,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.4,35240,80,96,96,96,66960,61936,0,30967,1448,68371,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.2,60298,80,96,96,96,7870,6294,0,30967,1448,8949,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.3,42122,80,96,96,96,27905,26054,0,30967,1448,28232,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.4,35250,80,96,96,96,62354,60412,0,30967,1448,63062,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.2,60312,80,96,96,96,7732,6183,0,30967,1448,9011,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.3,42124,80,96,96,96,27460,25626,0,30967,1448,27881,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.4,35262,80,96,96,96,59432,57597,0,30967,1448,60056,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.2,60314,80,96,96,96,7697,6084,0,30967,1448,8819,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.3,42130,80,96,96,96,23656,22109,0,30967,1448,24893,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.4,35270,80,96,96,96,62807,60777,0,30967,1448,63875,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.2,60316,80,96,96,96,7743,6108,0,30967,1448,8839,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.3,42146,80,96,96,96,27530,25557,0,30967,1448,27793,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.4,35274,80,96,96,96,57004,55274,0,30967,1448,57760,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.2,60320,80,96,96,96,7668,6357,0,30967,1448,8831,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.3,42154,80,96,96,96,25380,23200,0,30967,1448,25422,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.4,35278,80,96,96,96,68106,66669,0,30967,1448,69590,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.2,60332,80,96,96,96,7711,6159,0,30967,1448,8838,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.3,42158,80,96,96,96,27928,25963,0,30967,1448,28198,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.4,35292,80,96,96,96,62052,60495,0,30967,1448,63014,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.2,60338,80,96,96,96,7730,6188,0,30967,1448,8993,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.3,42172,80,96,96,96,25036,22783,0,30967,1448,24991,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.4,35298,80,96,96,96,68629,67206,0,30967,1448,69661,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.2,60340,80,96,96,96,7683,6434,0,30967,1448,8933,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.3,42180,80,96,96,96,27558,25621,0,30967,1448,27810,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.4,35312,80,96,96,96,67164,65471,0,30967,1448,68037,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.2,60344,80,96,96,96,7873,6278,0,30967,1448,9001,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.3,42196,80,96,96,96,24505,22868,0,30967,1448,25077,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.4,35320,80,96,96,96,59162,56688,0,30967,1448,59173,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.2,60354,80,96,96,96,7810,6563,0,30967,1448,8847,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.3,42208,80,96,96,96,25935,23926,0,30967,1448,26144,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.4,35334,80,96,96,96,68971,67311,0,30967,1448,69813,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.2,60360,80,96,96,96,7805,6511,0,30967,1448,8954,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.3,42224,80,96,96,96,27594,25566,0,30967,1448,27817,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.4,35344,80,96,96,96,65830,63903,0,30967,1448,66399,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.2,60370,80,96,96,96,7718,6140,0,30967,1448,8824,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.3,42228,80,96,96,96,27831,25815,0,30967,1448,28053,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.4,35356,80,96,96,96,62137,60553,0,30967,1448,62998,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.2,60374,80,96,96,96,7712,6097,0,30967,1448,8777,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.3,42238,80,96,96,96,25096,22877,0,30967,1448,25111,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.4,35362,80,96,96,96,62964,61283,0,30967,1448,63774,0,0,0
calib_iw096_30K,static10,100,30720,0,10.0.0.2,60384,80,96,96,96,7671,6079,0,30967,1448,8923,0,0,0
