policy,bw_mbit,obj_label,client,obj_bytes,rtt_nominal_ms,n_conn,n_iterations,fct_ms_mean,fct_ms_median,fct_ms_std,fct_ms_p95,goodput_mbps_mean,goodput_mbps_median,goodput_mbps_std,goodput_mbps_p95,trasferimento_ms_mean,trasferimento_ms_median,trasferimento_ms_std,trasferimento_ms_p95,retrans_mean,retrans_median,retrans_std,retrans_p95,srtt_ms_mean,srtt_ms_median,srtt_ms_std,srtt_ms_p95,iw_applied_mean,iw_applied_median,iw_applied_std,iw_applied_p95,max_cwnd_mean,max_cwnd_median,max_cwnd_std,max_cwnd_p95,retrans_flow_pct,penalties_total,fct_ms_median_iter_mean,fct_ms_median_iter_std,goodput_mbps_median_iter_mean,goodput_mbps_median_iter_std,trasferimento_ms_median_iter_mean,trasferimento_ms_median_iter_std,retrans_median_iter_mean,retrans_median_iter_std,srtt_ms_median_iter_mean,srtt_ms_median_iter_std,iw_applied_median_iter_mean,iw_applied_median_iter_std,max_cwnd_median_iter_mean,max_cwnd_median_iter_std,retrans_flow_pct_iter_mean,retrans_flow_pct_iter_std
statichigh,50,10K,h4,10240,52.0,150,10,128.8249,128.594,6.3969,139.1166,0.6375,0.637,0.0321,0.6863,64.7478,64.403,4.8556,72.2164,0.0,0.0,0.0,0.0,62.37,62.5325,3.5079,67.3393,24.0,24.0,0.0,24.0,24.0,24.0,0.0,24.0,0.0,0,128.7322,2.2008,0.6365,0.0108,64.9817,1.6461,0.0,0.0,62.1661,1.3398,24.0,0.0,24.0,0.0,0.0,0.0
ewma,50,10M,h2,10485760,6.0,150,10,1768.5981,1768.04,2.8992,1772.328,47.431,47.4458,0.0768,47.4705,1761.94,1761.4045,2.8811,1765.5949,16.4933,17.0,5.0564,21.0,8.7498,8.739,0.1076,8.962,45.6933,48.0,9.5902,49.0,48.2667,48.0,0.6919,49.0,93.333,0,1768.0225,0.237,47.4463,0.0064,1761.334,0.1713,17.2,0.6325,8.7539,0.0329,48.2,0.6325,48.2,0.6325,93.333,0.0
ewma,50,10M,h3,10485760,22.0,150,10,1857.7616,1852.6745,30.7054,1936.3241,45.1663,45.2784,0.7237,45.9016,1830.948,1825.7525,30.3604,1908.0049,17.0933,20.0,10.6174,33.0,24.5216,24.4935,0.1543,24.8251,142.2267,150.0,36.6617,165.0,158.04,157.0,13.5893,180.55,94.0,0,1852.15,2.4396,45.2913,0.0597,1825.1998,1.3039,16.8,4.3919,24.497,0.044,152.9,5.7048,158.4,5.7388,94.0,2.108
ewma,50,10M,h4,10485760,52.0,150,10,2024.9565,2017.5815,79.2861,2101.4806,41.4717,41.5775,1.1818,42.1536,1958.7128,1950.199,79.8858,2034.1642,22.04,26.0,14.2414,35.55,54.5192,54.4665,0.0991,54.6381,229.3267,245.0,58.8139,245.0,331.8133,357.0,41.3384,362.55,78.0,0,2015.8702,4.8091,41.6131,0.0995,1949.5695,5.1188,27.3,2.4518,54.4889,0.0544,245.0,0.0,356.6,0.5164,78.0,10.447
lossaware,50,10M,h2,10485760,6.0,150,10,1767.9635,1767.7865,1.742,1772.2618,47.4479,47.4526,0.0467,47.4994,1761.3195,1761.274,1.7436,1765.6586,2.0467,0.0,4.7647,17.0,8.7198,8.6735,0.1398,8.9765,26.4867,26.0,9.664,48.0,48.22,48.0,1.3254,50.0,30.0,379,1767.6461,0.436,47.4564,0.0117,1761.0876,0.4322,0.0,0.0,8.6924,0.0616,25.7,1.8288,47.9,0.3162,30.0,4.714
lossaware,50,10M,h3,10485760,22.0,150,10,1845.3718,1837.455,28.6043,1879.395,45.4674,45.6534,0.641,45.9066,1818.7636,1810.081,28.3594,1852.6832,3.84,2.0,7.4834,16.0,24.5517,24.497,0.1684,24.8561,42.7067,35.0,30.2226,131.55,137.4467,143.0,16.393,167.0,54.667,670,1837.6216,1.8835,45.6493,0.0468,1810.7685,1.7869,1.6,0.8433,24.5017,0.0332,35.2,4.9171,141.4,4.0056,54.667,6.126
lossaware,50,10M,h4,10485760,52.0,150,10,2072.5892,2024.5855,170.9614,2254.5174,40.6681,41.4337,2.3987,41.9702,2006.605,1959.0355,170.7299,2188.8954,7.96,4.0,9.1453,26.0,54.5165,54.486,0.1409,54.8357,82.1667,71.5,65.6999,243.55,301.5467,321.0,40.8664,355.0,58.0,710,2024.2322,3.189,41.441,0.0654,1957.3254,4.0695,5.4,3.4059,54.4841,0.0268,68.0,22.6029,312.6,19.7439,58.0,9.963
lossaware-disc,50,10M,h2,10485760,6.0,150,10,1768.5514,1767.8135,6.0054,1772.2206,47.4326,47.4519,0.1571,47.4988,1761.9023,1761.1365,5.9966,1765.4486,2.0667,0.0,4.5179,16.55,8.698,8.6555,0.1219,8.9546,27.3933,28.5,9.1819,48.0,48.2667,48.0,1.4174,51.0,32.667,334,1767.6893,0.4416,47.4552,0.0119,1760.9705,0.4408,0.0,0.0,8.6638,0.0251,27.7,2.3118,48.0,0.0,32.667,5.837
lossaware-disc,50,10M,h3,10485760,22.0,150,10,1836.1909,1833.7805,12.9977,1877.7089,45.6871,45.7449,0.3173,45.9308,1809.4935,1808.336,12.7244,1852.0519,6.1267,3.0,6.0892,15.65,24.5271,24.5755,0.1368,24.8056,66.0933,66.0,22.8204,132.0,149.6067,150.0,7.6271,160.75,93.333,139,1833.4053,2.0683,45.7543,0.0517,1807.4776,2.1302,3.3,2.7508,24.5595,0.0462,65.8,0.6325,149.6,1.2649,93.333,0.0
lossaware-disc,50,10M,h4,10485760,52.0,150,10,2026.0619,2017.061,46.9141,2116.6499,41.4235,41.5883,0.8707,42.2212,1959.8589,1951.8045,46.2145,2050.2359,8.1333,4.0,9.7255,27.1,54.4988,54.478,0.1003,54.6361,165.0,166.0,56.1866,245.0,308.8667,327.0,37.5864,357.0,66.0,159,2016.4273,7.0813,41.6018,0.1471,1951.2793,4.8619,6.1,4.6774,54.4857,0.0259,171.5,18.5068,323.7,10.6568,66.0,9.135
metrics,50,10M,h2,10485760,6.0,150,10,1772.8853,1772.3125,4.068,1774.0688,47.3164,47.3314,0.1059,47.3517,1766.2435,1765.6695,4.0502,1767.4603,0.0,0.0,0.0,0.0,8.7508,8.732,0.0762,8.8977,10.0,10.0,0.0,10.0,48.1667,48.0,0.7087,49.0,0.0,0,1772.364,0.3056,47.3301,0.0082,1765.7093,0.2689,0.0,0.0,8.7274,0.0217,10.0,0.0,48.0,0.0,0.0,0.0
metrics,50,10M,h3,10485760,22.0,150,10,1886.4766,1877.905,49.5761,1883.1977,44.4943,44.67,1.0436,44.9912,1860.0439,1851.892,49.4914,1855.4113,0.0267,0.0,0.2302,0.0,24.7868,24.8185,0.1235,24.849,10.0,10.0,0.0,10.0,131.1133,132.0,3.721,132.0,1.333,0,1876.9319,4.452,44.6934,0.1066,1850.6022,4.2129,0.0,0.0,24.8071,0.0389,10.0,0.0,132.0,0.0,1.333,4.216
metrics,50,10M,h4,10485760,52.0,150,10,2261.302,2114.4705,370.5418,2992.5916,37.8413,39.6724,4.5974,40.3124,2196.0327,2048.4175,370.1058,2922.9333,1.96,0.0,17.8562,0.0,54.4798,54.475,0.0606,54.6155,10.0,10.0,0.0,10.0,271.3733,275.0,17.5666,276.0,4.0,0,2112.0118,11.3876,39.7196,0.2168,2046.6358,9.2815,0.0,0.0,54.4753,0.0325,10.0,0.0,274.6,0.5164,4.0,6.441
static10,50,10M,h2,10485760,6.0,150,10,1773.3509,1772.3985,6.8025,1774.4887,47.3044,47.3291,0.1742,47.3484,1766.6978,1765.7085,6.7842,1767.8596,0.0,0.0,0.0,0.0,8.7583,8.7345,0.0755,8.8986,10.0,10.0,0.0,10.0,48.04,48.0,0.6842,49.0,0.0,0,1772.4593,0.2084,47.3275,0.0056,1765.7686,0.1446,0.0,0.0,8.7306,0.0229,10.0,0.0,48.0,0.0,0.0,0.0
static10,50,10M,h3,10485760,22.0,150,10,1886.961,1878.805,49.8129,1885.9967,44.4831,44.6486,1.0478,44.9903,1860.268,1852.135,49.6431,1857.2351,0.0267,0.0,0.2302,0.0,24.7763,24.809,0.1287,24.8635,10.0,10.0,0.0,10.0,131.14,132.0,3.7525,132.0,1.333,0,1877.7029,4.7388,44.6751,0.1134,1851.0971,4.0786,0.0,0.0,24.7877,0.0771,10.0,0.0,132.0,0.0,1.333,2.811
static10,50,10M,h4,10485760,52.0,150,10,2307.318,2116.2305,459.5584,3484.8885,37.3884,39.6394,5.2731,40.3362,2242.0094,2049.9455,458.7945,3418.9702,0.4933,0.0,2.4597,0.0,54.4751,54.473,0.0734,54.6146,10.0,10.0,0.0,10.0,269.36,274.5,20.6934,276.0,4.667,0,2115.2924,14.5161,39.6587,0.2745,2049.312,11.8912,0.0,0.0,54.4703,0.026,10.0,0.0,274.4,0.5164,4.667,3.22
statichigh,50,10M,h2,10485760,6.0,150,10,1767.0548,1766.9615,0.6108,1767.528,47.4723,47.4748,0.0164,47.4842,1760.4049,1760.3065,0.5793,1760.7559,0.0,0.0,0.0,0.0,8.7024,8.69,0.0721,8.8925,24.0,24.0,0.0,24.0,47.9533,48.0,0.5095,49.0,0.0,0,1766.9597,0.0574,47.4748,0.0015,1760.2947,0.0471,0.0,0.0,8.688,0.0065,24.0,0.0,48.0,0.0,0.0,0.0
statichigh,50,10M,h3,10485760,22.0,150,10,1842.9512,1843.638,3.215,1846.8237,45.5174,45.5003,0.0795,45.6646,1816.1289,1817.1685,2.4247,1818.3353,6.54,7.0,4.0094,12.0,24.4666,24.45,0.1049,24.637,24.0,24.0,0.0,24.0,145.8,147.0,1.7798,147.0,90.0,0,1843.6834,0.9241,45.4992,0.0228,1816.8856,1.0074,5.8,1.0328,24.4499,0.0214,24.0,0.0,146.8,0.6325,90.0,7.201
statichigh,50,10M,h4,10485760,52.0,150,10,2055.2646,2039.1465,61.588,2260.6516,40.8484,41.1378,1.1154,41.5337,1989.7264,1973.415,61.5331,2191.613,2.5533,0.0,19.0617,4.0,54.6872,54.643,0.1958,55.0068,24.0,24.0,0.0,24.0,295.6867,298.0,16.9207,308.0,45.333,0,2040.2198,4.6863,41.1164,0.0943,1973.8335,4.9773,0.8,1.0328,54.6568,0.0639,24.0,0.0,297.9,3.414,45.333,8.195
ewma,50,1K,h2,1024,6.0,150,10,13.536,13.3945,0.4759,14.4085,0.6059,0.6116,0.0206,0.6298,6.9338,6.7905,0.4282,7.7041,0.0,0.0,0.0,0.0,6.49,6.43,0.1921,6.8082,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0,13.4416,0.1884,0.6096,0.0084,6.8303,0.1439,0.0,0.0,6.4342,0.0356,10.0,0.0,10.0,0.0,0.0,0.0
ewma,50,1K,h3,1024,22.0,150,10,56.3152,56.7125,3.3534,61.4214,0.146,0.1444,0.0091,0.1635,29.6164,29.6285,2.6351,33.2846,0.0,0.0,0.0,0.0,29.0944,29.532,1.8937,31.4101,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0,56.6735,1.003,0.1446,0.0025,29.9863,1.032,0.0,0.0,29.5116,0.4575,10.0,0.0,10.0,0.0,0.0,0.0
ewma,50,1K,h4,1024,52.0,150,10,128.2764,128.3785,6.816,139.9892,0.064,0.0638,0.0034,0.0696,64.5059,64.1375,5.1678,72.6314,0.0,0.0,0.0,0.0,63.3023,63.2535,3.9622,70.1851,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0,127.8696,2.5701,0.0641,0.0013,64.4471,1.3711,0.0,0.0,63.1549,1.4915,10.0,0.0,10.0,0.0,0.0,0.0
lossaware,50,1K,h2,1024,6.0,150,10,13.4859,13.306,0.5063,14.4304,0.6083,0.6157,0.0216,0.6305,6.8756,6.733,0.4625,7.704,0.0,0.0,0.0,0.0,6.4962,6.4345,0.2263,6.9446,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0,13.3138,0.0826,0.6153,0.0038,6.7675,0.1094,0.0,0.0,6.4334,0.0325,10.0,0.0,10.0,0.0,0.0,0.0
lossaware,50,1K,h3,1024,22.0,150,10,56.8221,56.843,3.0893,61.3382,0.1446,0.1441,0.0082,0.159,29.8027,29.767,2.5943,33.2227,0.0,0.0,0.0,0.0,29.3177,29.737,1.7775,31.5766,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0,57.0106,0.6399,0.1437,0.0016,29.8975,0.7714,0.0,0.0,29.6896,0.3456,10.0,0.0,10.0,0.0,0.0,0.0
lossaware,50,1K,h4,1024,52.0,150,10,128.2889,128.22,6.0466,137.0062,0.064,0.0639,0.0031,0.0693,64.6382,64.086,4.5775,72.3507,0.0,0.0,0.0,0.0,63.1613,62.9705,3.9732,69.7155,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0,128.6097,2.1543,0.0637,0.0011,64.5584,1.1691,0.0,0.0,63.3995,1.2228,10.0,0.0,10.0,0.0,0.0,0.0
lossaware-disc,50,1K,h2,1024,6.0,150,10,13.5971,13.386,0.5271,14.6579,0.6033,0.612,0.0226,0.6278,6.9777,6.794,0.4873,7.978,0.0,0.0,0.0,0.0,6.5173,6.474,0.2124,7.0432,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0,13.4612,0.2803,0.6088,0.0122,6.8722,0.2346,0.0,0.0,6.4711,0.0673,10.0,0.0,10.0,0.0,0.0,0.0
lossaware-disc,50,1K,h3,1024,22.0,150,10,56.3928,56.352,3.0416,61.1334,0.1457,0.1454,0.008,0.1589,29.3909,29.3265,2.4659,33.1218,0.0,0.0,0.0,0.0,29.2056,29.646,1.6716,31.3666,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0,56.7158,0.9771,0.1445,0.0025,29.4094,1.0403,0.0,0.0,29.4425,0.8642,10.0,0.0,10.0,0.0,0.0,0.0
lossaware-disc,50,1K,h4,1024,52.0,150,10,128.9186,129.184,6.6894,139.3526,0.0637,0.0634,0.0034,0.0691,64.8936,64.831,4.9881,72.6005,0.0,0.0,0.0,0.0,63.5762,63.4125,3.8847,69.4009,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0,129.3081,2.2516,0.0634,0.0011,64.8873,1.75,0.0,0.0,63.6514,1.2269,10.0,0.0,10.0,0.0,0.0,0.0
metrics,50,1K,h2,1024,6.0,150,10,13.5056,13.407,0.4638,14.3086,0.6073,0.611,0.0202,0.6342,6.9035,6.763,0.4035,7.6938,0.0,0.0,0.0,0.0,6.4795,6.448,0.1622,6.7351,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0,13.4265,0.1198,0.6102,0.0054,6.7865,0.0739,0.0,0.0,6.4531,0.0599,10.0,0.0,10.0,0.0,0.0,0.0
metrics,50,1K,h3,1024,22.0,150,10,56.1557,56.674,3.4265,61.3336,0.1464,0.1445,0.009,0.1622,29.2777,29.342,2.7451,33.4123,0.0,0.0,0.0,0.0,28.8334,29.193,1.9799,31.4568,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0,56.6046,2.0978,0.1449,0.0057,29.4391,1.4369,0.0,0.0,29.1911,1.0346,10.0,0.0,10.0,0.0,0.0,0.0
metrics,50,1K,h4,1024,52.0,150,10,126.7351,126.6875,7.1386,138.2524,0.0648,0.0647,0.0037,0.0714,63.4694,63.428,5.2263,72.515,0.0,0.0,0.0,0.0,62.5333,61.9625,3.9987,69.3492,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0,126.9951,3.1728,0.0645,0.0017,63.3711,1.6772,0.0,0.0,62.4343,1.8993,10.0,0.0,10.0,0.0,0.0,0.0
static10,50,1K,h2,1024,6.0,150,10,13.4573,13.3005,0.5073,14.5208,0.6096,0.6159,0.0221,0.6375,6.8653,6.7215,0.4387,7.8235,0.0,0.0,0.0,0.0,6.4621,6.4305,0.1802,6.8061,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0,13.3065,0.0907,0.6157,0.0042,6.7075,0.0563,0.0,0.0,6.4299,0.0392,10.0,0.0,10.0,0.0,0.0,0.0
static10,50,1K,h3,1024,22.0,150,10,56.0679,56.0,3.3577,61.4205,0.1466,0.1463,0.0089,0.161,29.2999,29.29,2.6085,33.279,0.0,0.0,0.0,0.0,28.9075,29.344,1.9537,31.5077,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0,56.1045,1.745,0.1461,0.0048,29.4103,1.75,0.0,0.0,29.2458,1.1857,10.0,0.0,10.0,0.0,0.0,0.0
static10,50,1K,h4,1024,52.0,150,10,126.8367,127.123,6.8339,139.612,0.0648,0.0644,0.0035,0.0706,63.6536,64.085,4.8936,72.1203,0.0,0.0,0.0,0.0,62.6183,62.4725,4.1168,69.7077,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0,127.2295,3.3273,0.0644,0.0018,63.7716,2.1137,0.0,0.0,62.5495,2.0606,10.0,0.0,10.0,0.0,0.0,0.0
statichigh,50,1K,h2,1024,6.0,150,10,13.4436,13.2885,0.4301,14.2732,0.61,0.6165,0.019,0.6314,6.843,6.7115,0.3966,7.6216,0.0,0.0,0.0,0.0,6.4471,6.4345,0.1513,6.7028,24.0,24.0,0.0,24.0,24.0,24.0,0.0,24.0,0.0,0,13.2878,0.0915,0.6165,0.0042,6.7144,0.0614,0.0,0.0,6.4261,0.041,24.0,0.0,24.0,0.0,0.0,0.0
statichigh,50,1K,h3,1024,22.0,150,10,56.5238,56.524,3.0248,61.4584,0.1454,0.1449,0.008,0.1597,29.7834,29.664,2.4066,33.1697,0.0,0.0,0.0,0.0,29.1862,29.629,1.7714,31.4357,24.0,24.0,0.0,24.0,24.0,24.0,0.0,24.0,0.0,0,56.5203,0.5494,0.145,0.0014,29.7639,0.6754,0.0,0.0,29.5701,0.5351,24.0,0.0,24.0,0.0,0.0,0.0
statichigh,50,1K,h4,1024,52.0,150,10,128.6709,128.378,6.5679,139.6581,0.0638,0.0638,0.0033,0.0691,64.6211,64.6155,5.1503,72.6014,0.0,0.0,0.0,0.0,63.1555,62.959,3.8933,69.7656,24.0,24.0,0.0,24.0,24.0,24.0,0.0,24.0,0.0,0,128.1047,1.7251,0.064,0.0009,64.9984,1.5019,0.0,0.0,62.9452,1.2159,24.0,0.0,24.0,0.0,0.0,0.0
ewma,50,1M,h2,1048576,6.0,150,10,190.2437,189.881,1.4335,193.9453,44.0965,44.1782,0.3253,44.3611,183.6279,183.263,1.395,187.4559,16.84,17.0,5.0021,21.0,8.7269,8.724,0.1294,8.9551,45.7467,48.0,9.6156,49.0,48.3,48.5,0.7836,49.0,93.333,0,189.8839,0.1608,44.1776,0.0374,183.2682,0.1759,18.5,1.9579,8.7153,0.0483,48.3,0.8233,48.3,0.8233,93.333,0.0
ewma,50,1M,h3,1048576,22.0,150,10,271.3609,272.072,16.195,303.1183,31.0199,30.8323,1.8067,33.6609,244.5561,244.9325,16.3167,275.9184,16.9733,18.0,10.7185,33.0,23.9968,24.24,0.6453,24.6848,142.0067,150.0,36.8342,168.0,158.7133,158.0,14.9609,183.0,93.333,0,272.5682,2.3608,30.7782,0.2654,245.2854,1.6443,15.5,6.77,24.108,0.4386,150.5,7.7496,156.7,10.0117,93.333,0.0
ewma,50,1M,h4,1048576,52.0,150,10,454.5045,440.7285,97.4832,531.9362,18.8086,19.0335,1.7606,20.2205,388.1705,376.248,97.393,462.7469,19.6533,26.0,14.3077,35.0,53.5927,53.304,0.9688,54.5516,223.92,245.0,62.9772,245.0,324.9,356.0,51.0494,359.65,74.0,0,440.5355,4.8332,19.0439,0.2091,376.0254,4.8699,24.3,6.0928,53.5348,0.4062,245.0,0.0,349.8,12.8478,74.0,5.837
lossaware,50,1M,h2,1048576,6.0,150,10,189.9108,189.756,1.7837,194.617,44.1751,44.2073,0.4086,44.609,183.3027,183.243,1.7366,187.8931,2.0267,0.0,4.6095,17.0,8.6204,8.63,0.1776,8.8906,26.5467,26.0,9.4929,48.0,47.4667,48.0,2.5453,51.0,29.333,378,189.7236,0.3498,44.215,0.0816,183.1676,0.3875,0.0,0.0,8.6389,0.0514,25.7,0.8233,48.0,0.4714,29.333,4.661
lossaware,50,1M,h3,1048576,22.0,150,10,265.0886,259.955,15.1555,299.8912,31.7402,32.2695,1.6868,33.4461,238.0606,231.7415,15.2219,274.0587,3.4733,2.0,5.5511,16.55,24.3284,24.271,0.3284,24.8435,44.1933,38.5,29.7129,132.0,137.74,144.0,16.6061,165.1,53.333,650,259.9387,1.4468,32.2724,0.1794,232.55,1.6842,1.4,0.9661,24.3131,0.089,37.5,6.6374,144.0,1.2472,53.333,5.443
lossaware,50,1M,h4,1048576,52.0,150,10,484.268,453.4045,95.2617,604.5904,17.7418,18.5014,2.2286,20.0644,418.0559,387.57,95.0141,541.9611,7.5933,4.0,9.6106,30.4,53.8927,53.96,0.7303,54.6763,71.64,42.0,67.0728,245.0,291.7133,321.0,64.1572,356.0,60.667,696,455.5016,6.5577,18.4196,0.2641,388.3357,5.6572,5.1,3.755,53.9364,0.3116,54.5,23.8106,313.4,12.6684,60.667,7.981
lossaware-disc,50,1M,h2,1048576,6.0,150,10,189.7652,189.7035,1.5295,193.8134,44.208,44.2196,0.3524,44.6062,183.1572,182.9345,1.5147,187.3257,2.1133,0.0,4.7055,17.0,8.6143,8.6435,0.1648,8.8296,27.2467,26.5,9.2199,47.55,47.5267,48.0,2.5056,51.0,30.667,340,189.6241,0.4814,44.2383,0.1124,183.0508,0.4891,0.0,0.0,8.6397,0.0164,27.1,1.8529,47.9,0.3162,30.667,5.622
lossaware-disc,50,1M,h3,1048576,22.0,150,10,257.9404,256.14,11.9111,297.1245,32.5826,32.7501,1.3342,33.717,231.242,230.366,11.6463,270.1262,5.2333,3.0,5.5977,14.0,24.1599,24.104,0.1725,24.6806,66.9333,66.0,22.4304,131.55,149.3733,149.0,6.9654,159.65,93.333,140,255.9679,1.5683,32.7732,0.2024,229.4583,1.929,3.3,2.7508,24.117,0.0628,66.3,0.483,148.9,1.912,93.333,0.0
lossaware-disc,50,1M,h4,1048576,52.0,150,10,456.3395,447.421,83.1518,511.9934,18.6552,18.7488,1.6185,20.3648,390.716,381.5365,82.7862,451.7957,9.3933,7.0,10.8695,34.0,53.6578,53.5235,0.723,54.5288,159.8533,172.0,60.9598,245.0,301.5467,328.5,57.224,357.0,62.667,113,447.8661,2.6573,18.7308,0.1106,381.856,2.7221,7.9,4.6296,53.4969,0.1828,169.2,45.7112,326.0,9.5801,62.667,9.532
metrics,50,1M,h2,1048576,6.0,150,10,194.5734,194.3805,0.7329,195.9857,43.1134,43.1556,0.1619,43.3072,187.9543,187.8195,0.6678,189.2798,0.0,0.0,0.0,0.0,8.5729,8.5855,0.0662,8.6621,10.0,10.0,0.0,10.0,48.0467,48.0,0.6689,49.0,0.0,0,194.4812,0.2638,43.1333,0.0586,187.859,0.1747,0.0,0.0,8.5893,0.0233,10.0,0.0,48.0,0.0,0.0,0.0
metrics,50,1M,h3,1048576,22.0,150,10,302.517,299.3805,29.4802,304.3883,27.892,28.0199,1.693,29.2878,275.8599,273.5755,29.4653,276.3045,0.02,0.0,0.1821,0.0,24.6481,24.7035,0.3612,24.8122,10.0,10.0,0.0,10.0,130.4467,132.0,9.6943,132.0,1.333,0,298.727,4.4759,28.0871,0.4353,272.6133,4.0217,0.0,0.0,24.7038,0.0076,10.0,0.0,132.0,0.0,1.333,2.811
metrics,50,1M,h4,1048576,52.0,150,10,600.2026,534.464,187.2929,1081.493,14.8022,15.6954,2.7099,16.8626,535.5014,468.591,187.0697,1016.4756,0.1267,0.0,1.5513,0.0,54.4984,54.5195,0.7951,54.5781,10.0,10.0,0.0,10.0,245.98,275.0,70.1735,276.0,0.667,0,532.9737,13.3773,15.7487,0.4165,467.8169,11.0371,0.0,0.0,54.5147,0.0333,10.0,0.0,274.5,0.527,0.667,2.108
static10,50,1M,h2,1048576,6.0,150,10,194.5787,194.484,0.7281,195.9885,43.1123,43.1326,0.1607,43.3061,187.9558,187.833,0.6977,189.2964,0.0,0.0,0.0,0.0,8.5798,8.586,0.0746,8.7315,10.0,10.0,0.0,10.0,47.9933,48.0,0.6903,49.0,0.0,0,194.4253,0.2074,43.1457,0.0461,187.8193,0.1535,0.0,0.0,8.5836,0.0283,10.0,0.0,48.0,0.0,0.0,0.0
static10,50,1M,h3,1048576,22.0,150,10,315.3938,299.7485,58.9359,503.2634,27.2127,27.9855,3.3237,29.4018,288.9681,272.8585,59.0049,478.2977,0.0133,0.0,0.1151,0.0,24.5056,24.6935,0.5626,24.734,10.0,10.0,0.0,10.0,125.96,132.0,19.4636,132.0,1.333,0,298.6155,4.603,28.0979,0.45,272.2499,3.9524,0.0,0.0,24.6872,0.0345,10.0,0.0,132.0,0.0,1.333,4.216
static10,50,1M,h4,1048576,52.0,150,10,615.2779,534.4355,199.9022,1162.2105,14.563,15.6962,2.9232,16.7124,550.7482,467.9025,199.2491,1101.6609,1.0267,0.0,8.802,0.0,54.5435,54.5125,0.8211,55.6448,10.0,10.0,0.0,10.0,241.1,274.0,76.9119,276.0,4.667,0,531.7078,11.959,15.7841,0.3655,468.2202,9.9651,0.0,0.0,54.504,0.0346,10.0,0.0,274.4,0.6992,4.667,5.488
statichigh,50,1M,h2,1048576,6.0,150,10,189.0229,188.966,0.2882,189.623,44.3789,44.3922,0.0676,44.4691,182.4101,182.387,0.2417,182.791,0.0,0.0,0.0,0.0,8.6634,8.644,0.0781,8.8705,24.0,24.0,0.0,24.0,48.0133,48.0,0.6552,49.0,0.0,0,188.9864,0.0706,44.3874,0.0166,182.3755,0.0576,0.0,0.0,8.6434,0.009,24.0,0.0,48.0,0.0,0.0,0.0
statichigh,50,1M,h3,1048576,22.0,150,10,264.6215,265.0675,3.1544,268.603,31.7049,31.6471,0.3819,32.4495,238.0626,239.114,2.5563,240.6043,6.5133,7.0,3.7804,12.0,24.1984,24.202,0.1905,24.6975,24.0,24.0,0.0,24.0,145.48,147.0,1.9307,147.0,93.333,0,265.1062,1.1591,31.643,0.1384,238.8801,0.8785,6.2,1.0328,24.2024,0.0386,24.0,0.0,146.2,1.3166,93.333,4.444
statichigh,50,1M,h4,1048576,52.0,150,10,465.8335,461.068,27.0229,546.852,18.0591,18.1939,0.8939,18.935,400.5133,396.133,27.222,483.3361,1.08,0.0,1.2398,4.0,54.033,54.1575,0.7755,54.835,24.0,24.0,0.0,24.0,288.5133,296.5,40.6076,308.0,47.333,0,461.124,3.9686,18.1929,0.1565,395.9026,2.4409,0.8,1.0328,54.1747,0.2388,24.0,0.0,297.2,3.5528,47.333,13.499
ewma,50,200K,h2,204800,6.0,150,10,49.7418,49.486,1.1254,52.8362,32.9539,33.1084,0.7038,33.5563,43.1441,42.884,1.1055,46.2372,8.0867,9.0,2.2612,9.0,8.2013,8.182,0.1208,8.4238,38.28,40.0,7.5965,41.0,40.34,40.0,0.5159,41.0,93.333,0,49.4736,0.1189,33.1168,0.0795,42.8861,0.1114,8.9,0.3162,8.187,0.0253,40.3,0.483,40.3,0.483,93.333,0.0
ewma,50,200K,h3,204800,22.0,150,10,138.6934,135.8495,18.1149,173.6283,12.006,12.0604,1.5044,14.4802,111.9908,109.4095,18.7285,148.2313,3.0733,3.0,2.0336,6.0,25.4213,25.4395,0.9635,27.3291,129.42,139.0,32.1799,141.0,146.88,150.0,7.8192,156.0,85.333,0,136.128,1.6834,12.0374,0.1475,109.5417,1.6331,2.9,0.5676,25.3446,0.3918,139.2,0.9189,149.8,3.5839,85.333,6.885
