policy,bw_mbit,obj_label,client,obj_bytes,rtt_nominal_ms,n_conn,n_iterations,fct_ms_mean,fct_ms_median,fct_ms_std,fct_ms_p95,goodput_mbps_mean,goodput_mbps_median,goodput_mbps_std,goodput_mbps_p95,trasferimento_ms_mean,trasferimento_ms_median,trasferimento_ms_std,trasferimento_ms_p95,retrans_mean,retrans_median,retrans_std,retrans_p95,srtt_ms_mean,srtt_ms_median,srtt_ms_std,srtt_ms_p95,iw_applied_mean,iw_applied_median,iw_applied_std,iw_applied_p95,max_cwnd_mean,max_cwnd_median,max_cwnd_std,max_cwnd_p95,retrans_flow_pct,penalties_total,fct_ms_median_iter_mean,fct_ms_median_iter_std,goodput_mbps_median_iter_mean,goodput_mbps_median_iter_std,trasferimento_ms_median_iter_mean,trasferimento_ms_median_iter_std,retrans_median_iter_mean,retrans_median_iter_std,srtt_ms_median_iter_mean,srtt_ms_median_iter_std,iw_applied_median_iter_mean,iw_applied_median_iter_std,max_cwnd_median_iter_mean,max_cwnd_median_iter_std,retrans_flow_pct_iter_mean,retrans_flow_pct_iter_std
ewma,20,30K,h3,30720,22.0,150,10,67.4732,66.684,6.2774,86.7946,3.6681,3.6854,0.2813,3.9923,40.4366,39.9,6.0012,58.6997,0.0,0.0,0.0,0.0,25.222,25.227,0.2092,25.4706,21.2,22.0,3.0034,22.0,42.3667,43.0,2.5288,43.0,0.0,0,66.6537,1.047,3.6879,0.0578,39.8685,0.1379,0.0,0.0,25.2296,0.0514,22.0,0.0,43.0,0.0,0.0,0.0
ewma,20,30K,h4,30720,52.0,150,10,139.0453,135.728,15.022,186.1846,1.7836,1.8107,0.1516,1.9234,75.2057,72.125,14.864,123.7975,0.0,0.0,0.0,0.0,57.6355,56.8045,2.5095,62.304,21.2,22.0,3.0034,22.0,44.1333,45.0,3.2946,45.0,0.0,0,135.5852,1.8963,1.8129,0.0256,72.2389,1.1154,0.0,0.0,56.8396,0.7726,22.0,0.0,45.0,0.0,0.0,0.0
lossaware,20,30K,h2,30720,6.0,150,10,25.8351,25.7785,0.3582,26.6892,9.5144,9.5335,0.1298,9.6707,19.2285,19.168,0.3193,19.9785,0.0,0.0,0.0,0.0,10.9128,11.098,0.6468,11.2001,21.2,22.0,3.0034,22.0,30.1733,30.0,0.9813,31.0,0.0,0,25.7615,0.1186,9.54,0.0443,19.1619,0.0541,0.0,0.0,11.1023,0.035,22.0,0.0,30.2,0.4216,0.0,0.0
lossaware,20,30K,h3,30720,22.0,150,10,67.6032,66.781,6.205,85.969,3.6602,3.6801,0.2751,3.9607,40.5218,39.816,6.1613,58.9238,0.0,0.0,0.0,0.0,25.2335,25.251,0.174,25.4897,21.2,22.0,3.0034,22.0,42.3733,43.0,2.5291,43.0,0.0,0,66.7174,0.7034,3.684,0.0392,39.7889,0.294,0.0,0.0,25.2418,0.0587,22.0,0.0,43.0,0.0,0.0,0.0
lossaware,20,30K,h4,30720,52.0,150,10,138.7353,135.426,15.3617,186.6861,1.7882,1.8147,0.1539,1.943,74.7427,71.245,14.9339,125.8093,0.0,0.0,0.0,0.0,57.6305,56.723,2.4331,62.7078,21.2,22.0,3.0034,22.0,44.2,45.0,3.0034,45.0,0.0,0,135.4573,1.902,1.8146,0.0256,71.3072,0.8009,0.0,0.0,57.0292,0.7833,22.0,0.0,45.0,0.0,0.0,0.0
lossaware-disc,20,30K,h2,30720,6.0,150,10,25.8717,25.8075,0.432,26.7507,9.5018,9.5228,0.1559,9.7168,19.272,19.1835,0.3859,20.1549,0.0,0.0,0.0,0.0,10.8776,11.054,0.6371,11.1848,21.2,22.0,3.0034,22.0,30.12,30.0,0.9618,31.0,0.0,0,25.7922,0.104,9.5286,0.0385,19.167,0.0484,0.0,0.0,11.056,0.0391,22.0,0.0,30.1,0.3162,0.0,0.0
lossaware-disc,20,30K,h3,30720,22.0,150,10,67.7784,66.977,6.7968,88.4572,3.6548,3.6693,0.2929,3.954,40.753,39.9165,6.2909,60.4481,0.0,0.0,0.0,0.0,25.2682,25.2495,0.2597,25.502,21.2,22.0,3.0034,22.0,42.4267,43.0,2.5629,43.0,0.0,0,66.7407,0.8641,3.6829,0.0477,39.952,0.1329,0.0,0.0,25.2586,0.0606,22.0,0.0,43.0,0.0,0.0,0.0
lossaware-disc,20,30K,h4,30720,52.0,150,10,139.6358,136.505,16.4637,195.4637,1.7785,1.8004,0.1596,1.9305,75.474,72.0255,16.367,131.4402,0.0,0.0,0.0,0.0,57.5815,56.7545,2.388,62.442,21.2,22.0,3.0034,22.0,44.2,45.0,3.0034,45.0,0.0,0,136.6965,1.7271,1.7981,0.0227,71.9436,1.6984,0.0,0.0,56.8735,0.4551,22.0,0.0,45.0,0.0,0.0,0.0
metrics,20,30K,h2,30720,6.0,150,10,26.4892,26.4755,0.3415,27.096,9.2793,9.2825,0.1186,9.4657,19.8936,19.8495,0.2818,20.3407,0.0,0.0,0.0,0.0,8.5379,8.55,0.1771,8.8087,10.0,10.0,0.0,10.0,26.7333,27.0,1.8777,28.0,0.0,0,26.4568,0.1206,9.2893,0.0423,19.8492,0.0943,0.0,0.0,8.545,0.0876,10.0,0.0,27.0,0.0,0.0,0.0
metrics,20,30K,h3,30720,22.0,150,10,88.5185,88.234,4.1693,94.9398,2.7826,2.7853,0.1334,3.0084,61.5671,61.4865,3.3104,67.3101,0.0,0.0,0.0,0.0,25.2899,25.257,0.4017,25.9477,10.0,10.0,0.0,10.0,33.0,33.0,0.0,33.0,0.0,0,88.3797,2.679,2.7831,0.0883,61.467,1.8203,0.0,0.0,25.2733,0.2734,10.0,0.0,33.0,0.0,0.0,0.0
