policy,bw_mbit,obj_label,obj_bytes,rtt_nominal_ms,n_conn,n_iterations,fct_ms_mean,fct_ms_median,fct_ms_std,fct_ms_p95,goodput_mbps_mean,goodput_mbps_median,goodput_mbps_std,goodput_mbps_p95,trasferimento_ms_mean,trasferimento_ms_median,trasferimento_ms_std,trasferimento_ms_p95,retrans_mean,retrans_median,retrans_std,retrans_p95,srtt_ms_mean,srtt_ms_median,srtt_ms_std,srtt_ms_p95,iw_applied_mean,iw_applied_median,iw_applied_std,iw_applied_p95,max_cwnd_mean,max_cwnd_median,max_cwnd_std,max_cwnd_p95,retrans_flow_pct,penalties_total
static10,100,10M,10485760,,450,10,1429.2929,1191.1095,610.1243,2865.2266,66.534,70.4268,20.2456,89.9921,1396.1809,1163.5395,591.6814,2797.2253,64.1067,33.0,67.8457,216.0,27.8376,22.738,19.2421,53.9641,10.0,10.0,0.0,10.0,215.2489,176.0,141.0171,465.1,92.889,0
statichigh,100,10M,10485760,,450,10,1250.043,1029.299,418.5574,2004.4821,73.2982,81.4983,18.9772,91.2902,1216.8903,1001.615,396.2952,1938.8938,74.5044,29.0,72.2534,221.55,28.2495,23.868,19.1021,54.1471,24.0,24.0,0.0,24.0,236.2111,206.0,154.4446,478.0,93.333,0
ewma,100,1K,1024,,450,10,66.0658,56.516,47.5698,134.5044,0.2723,0.145,0.2399,0.6284,33.604,29.5455,23.7914,69.0423,0.0,0.0,0.0,0.0,32.9564,29.0905,23.5198,67.397,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0
lossaware,100,1K,1024,,450,10,66.04,56.6855,47.3953,134.8592,0.2722,0.1445,0.24,0.6248,33.4231,29.555,23.6288,68.7354,0.0,0.0,0.0,0.0,32.9727,29.5345,23.443,67.4853,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0
lossaware-disc,100,1K,1024,,450,10,66.0578,56.593,47.583,135.7536,0.2713,0.1448,0.2382,0.6256,33.5258,29.51,23.7116,69.8578,0.0,0.0,0.0,0.0,33.0827,29.654,23.6439,67.9619,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0
metrics,100,1K,1024,,450,10,65.8218,56.657,47.1681,134.5869,0.2723,0.1446,0.2398,0.6247,33.579,29.5715,23.7299,69.6026,0.0,0.0,0.0,0.0,32.9264,29.8425,23.3602,67.4024,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0
static10,100,1K,1024,,450,10,66.2695,56.8905,47.5716,134.2565,0.2717,0.144,0.2399,0.6246,33.8006,29.8195,24.0105,69.9442,0.0,0.0,0.0,0.0,33.1459,29.7765,23.5637,67.3546,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0
statichigh,100,1K,1024,,450,10,65.8746,56.267,47.4222,135.6784,0.2724,0.1456,0.2394,0.6247,33.6532,29.5455,23.9451,69.3346,0.0,0.0,0.0,0.0,32.9175,29.3055,23.4784,68.1183,24.0,24.0,0.0,24.0,24.0,24.0,0.0,24.0,0.0,0
ewma,100,1M,1048576,,450,10,300.1957,258.7165,174.0969,580.5465,39.478,32.4239,22.2989,75.7014,267.0396,231.1695,151.1246,518.8806,24.7156,21.0,25.9646,83.65,27.8211,22.565,19.7569,55.7897,159.0444,130.0,108.7745,341.0,179.4089,153.0,114.8923,398.0,93.111,0
lossaware,100,1M,1048576,,450,10,326.3861,270.7315,204.7715,623.4461,38.3905,30.985,23.0794,70.4019,293.4933,243.8735,182.9968,559.1733,43.6422,13.0,43.6062,106.0,28.4042,22.6545,20.4903,59.3564,27.4089,10.0,33.3662,98.0,164.6133,156.0,113.3754,429.65,80.444,2881
