policy,bw_mbit,obj_label,obj_bytes,rtt_nominal_ms,n_conn,n_iterations,fct_ms_mean,fct_ms_median,fct_ms_std,fct_ms_p95,goodput_mbps_mean,goodput_mbps_median,goodput_mbps_std,goodput_mbps_p95,trasferimento_ms_mean,trasferimento_ms_median,trasferimento_ms_std,trasferimento_ms_p95,retrans_mean,retrans_median,retrans_std,retrans_p95,srtt_ms_mean,srtt_ms_median,srtt_ms_std,srtt_ms_p95,iw_applied_mean,iw_applied_median,iw_applied_std,iw_applied_p95,max_cwnd_mean,max_cwnd_median,max_cwnd_std,max_cwnd_p95,retrans_flow_pct,penalties_total
static10,20,30K,30720,,450,10,102.1854,88.3435,68.6193,202.092,4.4589,2.7819,3.4836,9.4294,69.7875,61.108,44.9002,136.1018,0.0,0.0,0.0,0.0,31.1347,25.242,21.357,63.6694,10.0,10.0,0.0,10.0,30.8133,33.0,3.0644,33.0,0.0,0
statichigh,20,30K,30720,,450,10,75.2734,65.596,45.1251,140.6619,5.0468,3.7466,3.2907,9.6632,43.0477,39.676,21.5903,75.3186,0.0,0.0,0.0,0.0,31.4757,25.2025,18.9049,59.2313,24.0,24.0,0.0,24.0,41.4489,45.0,6.5384,47.0,0.0,0
ewma,50,10K,10240,,450,10,66.6827,57.2595,47.0154,133.9413,2.5467,1.4307,2.1602,5.6592,34.4906,30.1195,23.5536,70.4786,0.0,0.0,0.0,0.0,31.8831,26.575,23.0794,65.5657,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0
lossaware,50,10K,10240,,450,10,66.6282,57.386,46.933,133.6072,2.5435,1.4275,2.1545,5.6288,34.1678,29.8075,23.2541,69.7126,0.0,0.0,0.0,0.0,31.7522,26.7055,22.9003,65.1483,10.0,10.0,0.0,10.0,18.0044,18.0,0.0666,18.0,0.0,0
lossaware-disc,50,10K,10240,,450,10,66.594,57.0695,46.928,134.9729,2.5427,1.4354,2.1526,5.6395,34.183,29.692,23.2844,69.7897,0.0,0.0,0.0,0.0,31.7754,26.371,22.989,65.4349,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0
metrics,50,10K,10240,,450,10,65.9447,56.5615,46.5024,133.5851,2.5575,1.4483,2.1561,5.6514,33.84,29.4015,23.17,68.9496,0.0,0.0,0.0,0.0,31.4873,25.985,22.7742,65.2411,10.0,10.0,0.0,10.0,18.0022,18.0,0.0471,18.0,0.0,0
static10,50,10K,10240,,450,10,66.1118,57.1585,46.525,134.0833,2.5566,1.4332,2.1621,5.6756,33.8915,29.7225,23.0605,68.6896,0.0,0.0,0.0,0.0,31.4778,26.2355,22.697,65.2447,10.0,10.0,0.0,10.0,18.0,18.0,0.0,18.0,0.0,0
statichigh,50,10K,10240,,450,10,66.7054,56.8695,47.3639,136.106,2.5528,1.4405,2.1617,5.641,34.28,29.624,23.5509,69.9616,0.0,0.0,0.0,0.0,31.9192,26.314,23.1051,66.028,24.0,24.0,0.0,24.0,24.0,24.0,0.0,24.0,0.0,0
ewma,50,10M,10485760,,450,10,1883.7721,1852.6745,117.1258,2027.2061,44.6897,45.2784,2.5855,47.46,1850.5336,1825.7525,95.3219,1960.7042,18.5422,19.0,10.9265,34.0,29.2635,24.4935,19.0053,54.624,139.0822,150.0,85.218,245.0,179.3733,157.0,119.525,357.0,88.444,0
lossaware,50,10M,10485760,,450,10,1895.3082,1837.455,163.4684,2105.3588,44.5278,45.6534,3.1885,47.4922,1862.2294,1810.081,144.6977,2040.4945,4.6156,0.0,7.7469,21.0,29.2627,24.497,19.0126,54.6175,50.4533,33.0,48.1088,149.55,162.4044,143.0,108.054,341.0,47.556,1759
lossaware-disc,50,10M,10485760,,450,10,1876.9347,1833.7805,112.7246,2031.21,44.8477,45.7449,2.5842,47.4927,1843.7516,1808.3685,88.9281,1963.1989,5.4422,2.0,7.5398,18.55,29.2413,24.5755,19.0144,54.6161,86.1622,66.0,67.9206,218.0,168.9133,150.0,109.6335,342.55,64.0,632
metrics,50,10M,10485760,,450,10,1973.5546,1877.905,300.0518,2432.3317,43.2173,44.67,4.8158,47.3459,1940.7733,1851.892,283.5405,2370.5595,0.6622,0.0,10.3281,0.0,29.3391,24.8185,18.9656,54.5288,10.0,10.0,0.0,10.0,150.2178,132.0,92.8013,276.0,1.778,0
static10,50,10M,10485760,,450,10,1989.21,1878.805,351.8355,2936.9738,43.0586,44.6486,5.2002,47.3443,1956.3251,1852.135,336.2229,2875.4116,0.1733,0.0,1.4411,0.0,29.3366,24.809,18.9616,54.5236,10.0,10.0,0.0,10.0,149.5133,132.0,92.1848,275.0,2.0,0
statichigh,50,10M,10485760,,450,10,1888.4236,1843.638,127.1748,2053.5752,44.6127,45.5003,2.8555,47.4811,1855.4201,1817.1685,104.002,1986.5185,3.0311,0.0,11.54,12.0,29.2854,24.45,19.1016,54.8945,24.0,24.0,0.0,24.0,163.1467,147.0,102.4615,307.0,45.111,0
ewma,50,1K,1024,,450,10,66.0425,56.7125,47.5999,135.1327,0.272,0.1444,0.2391,0.6248,33.6854,29.6285,23.9412,71.0026,0.0,0.0,0.0,0.0,32.9622,29.532,23.5169,67.2338,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0
lossaware,50,1K,1024,,450,10,66.199,56.843,47.5496,134.9527,0.2723,0.1441,0.2405,0.6246,33.7722,29.767,23.9683,69.6031,0.0,0.0,0.0,0.0,32.9917,29.737,23.4396,67.7106,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0
lossaware-disc,50,1K,1024,,450,10,66.3028,56.352,47.84,136.3012,0.2709,0.1454,0.2381,0.6234,33.7541,29.3265,24.0869,70.2929,0.0,0.0,0.0,0.0,33.0997,29.646,23.6088,67.5812,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0
metrics,50,1K,1024,,450,10,65.4655,56.674,46.9669,134.5324,0.2728,0.1445,0.2394,0.6265,33.2169,29.342,23.5343,70.096,0.0,0.0,0.0,0.0,32.6154,29.193,23.2082,67.2985,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0
static10,50,1K,1024,,450,10,65.4539,56.0,47.0183,133.9706,0.2737,0.1463,0.2405,0.6279,33.2729,29.29,23.5979,68.4121,0.0,0.0,0.0,0.0,32.6626,29.344,23.2535,67.1072,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0
statichigh,50,1K,1024,,450,10,66.2128,56.524,47.7731,135.5824,0.273,0.1449,0.2411,0.6267,33.7492,29.664,24.0059,69.752,0.0,0.0,0.0,0.0,32.9296,29.629,23.4578,67.2796,24.0,24.0,0.0,24.0,24.0,24.0,0.0,24.0,0.0,0
ewma,50,1M,1048576,,450,10,305.3697,272.072,124.4417,457.6944,31.3083,30.8323,10.4406,44.2902,272.1182,244.9325,102.9848,390.317,17.8222,17.0,10.7724,34.0,28.7721,24.24,18.6579,54.4241,137.2244,148.0,84.3284,245.0,177.3044,158.0,117.865,357.0,86.889,0
lossaware,50,1M,1048576,,450,10,313.0891,259.955,136.8083,525.1418,31.219,32.2695,10.9315,44.5404,279.8064,231.7415,114.6836,455.8,4.3644,0.0,7.3145,17.55,28.9472,24.271,18.7955,54.5146,47.46,32.0,46.4843,138.0,158.9733,142.0,107.9371,338.1,47.778,1724
lossaware-disc,50,1M,1048576,,450,10,301.3483,256.14,123.112,459.1035,31.8153,32.7501,10.5292,44.5439,268.3717,230.366,101.03,393.2843,5.58,2.0,8.1158,21.0,28.8107,24.104,18.7066,54.3712,84.6778,66.0,67.2564,209.1,166.1489,149.0,109.6548,345.55,62.222,593
metrics,50,1M,1048576,,450,10,365.7643,299.3805,203.5129,555.1801,28.6025,28.0199,11.7275,43.2671,333.1052,273.5755,183.6296,489.7993,0.0489,0.0,0.9015,0.0,29.2398,24.7035,19.0559,54.5546,10.0,10.0,0.0,10.0,141.4911,132.0,90.9436,276.0,0.667,0
static10,50,1M,1048576,,450,10,375.0835,299.7485,213.9226,909.8396,28.296,27.9855,11.9685,43.2596,342.5574,272.8585,194.3047,845.3886,0.3467,0.0,5.0938,0.0,29.2096,24.6935,19.087,54.5541,10.0,10.0,0.0,10.0,138.3511,132.0,91.6227,276.0,2.0,0
statichigh,50,1M,1048576,,450,10,306.4927,265.0675,117.9972,470.2719,31.381,31.6471,10.7741,44.44,273.662,239.114,93.9627,404.2111,2.5311,0.0,3.6598,12.0,28.9649,24.202,18.8528,54.7796,24.0,24.0,0.0,24.0,160.6689,147.0,101.6155,307.0,46.889,0
ewma,50,200K,204800,,450,10,150.9911,135.8495,91.3502,267.7525,17.0778,12.0604,11.5249,33.3283,118.6671,109.4095,68.859,203.221,3.72,3.0,3.7686,9.0,29.5721,25.4395,19.4407,56.7998,91.2156,108.0,48.3989,142.0,103.0978,118.5,47.636,156.0,59.556,0
lossaware,50,200K,204800,,450,10,146.7549,116.4185,91.6516,267.6864,17.6978,14.0734,11.6845,34.6748,114.3294,89.605,68.9577,204.9597,0.5822,0.0,1.6574,4.0,29.7271,25.4695,19.5799,57.7265,75.8378,80.5,46.7707,142.0,104.8578,126.0,45.8756,150.0,16.444,590
lossaware-disc,50,200K,204800,,450,10,148.1666,116.6485,93.3266,269.5837,17.6944,14.0456,11.7923,34.7476,115.6357,89.86,70.8315,203.0999,0.5889,0.0,1.6218,4.0,29.6349,25.445,19.4715,57.0537,75.8911,79.0,46.7713,142.0,105.8067,140.0,46.3867,150.0,19.333,517
metrics,50,200K,204800,,450,10,187.7238,153.6695,128.1643,422.6541,15.319,10.6618,11.1255,31.0723,155.567,126.1835,105.4229,358.9332,0.0,0.0,0.0,0.0,29.1348,24.503,19.4023,56.9553,10.0,10.0,0.0,10.0,94.7756,129.0,49.6579,153.0,0.0,0
